"","number.of.adults","number.of.children","number.of.weekend.nights","number.of.week.nights","type.of.meal","car.parking.space","room.type","lead.time","market.segment.type","repeated","P.C","P.not.C","average.price","special.requests","booking.status","reservation_month","reservation_day","reservation_weekday"
"3719",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",25,"Online",0,0,0,114,2,0,"09","18","Monday"
"3720",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,"Corporate",1,0,3,65,0,0,"11","18","Saturday"
"3721",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",74,"Offline",0,0,0,145.1,0,0,"12","30","Sunday"
"3722",2,0,1,4,"Meal Plan 1",0,"Room_Type 1",275,"Online",0,0,0,90,0,1,"10","05","Friday"
"3723",2,1,1,3,"Meal Plan 1",0,"Room_Type 1",23,"Online",0,0,0,85.6,0,1,"08","25","Saturday"
"3724",1,0,2,3,"Meal Plan 1",0,"Room_Type 1",11,"Online",0,0,0,125.4,1,0,"10","04","Wednesday"
"3725",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",14,"Offline",0,0,0,72,1,0,"05","18","Friday"
"3726",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",2,"Online",0,0,0,80,1,0,"02","10","Saturday"
"3727",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",85,"Corporate",0,0,0,90,0,0,"09","09","Saturday"
"3728",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",114,"Online",0,0,0,75,0,1,"07","01","Sunday"
"3729",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",115,"Online",0,0,0,114.3,0,1,"07","08","Sunday"
"3730",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",2,"Online",0,0,0,138.67,1,0,"09","14","Thursday"
"3731",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",240,"Online",0,0,0,95.63,1,1,"09","03","Monday"
"3732",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",2,"Online",0,0,0,103,1,0,"03","08","Thursday"
"3733",3,0,2,0,"Meal Plan 1",0,"Room_Type 4",109,"Online",0,0,0,146.7,2,0,"07","10","Tuesday"
"3734",2,0,0,1,"Meal Plan 1",0,"Room_Type 2",37,"Online",0,0,0,69.53,0,0,"02","13","Tuesday"
"3735",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",77,"Online",0,0,0,96.3,1,0,"04","14","Saturday"
"3736",2,0,1,2,"Meal Plan 2",0,"Room_Type 1",418,"Online",0,0,0,107,0,1,"09","26","Wednesday"
"3737",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",320,"Online",0,0,0,115,1,1,"08","18","Saturday"
"3738",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",188,"Online",0,0,0,130,0,1,"06","15","Friday"
"3739",2,0,2,4,"Meal Plan 2",0,"Room_Type 1",327,"Offline",0,0,0,88,0,0,"09","09","Saturday"
"3740",2,0,2,0,"Meal Plan 1",0,"Room_Type 1",10,"Offline",0,0,0,52,1,0,"12","27","Wednesday"
"3741",2,1,0,4,"Meal Plan 2",0,"Room_Type 1",12,"Online",0,0,0,158.5,3,0,"02","24","Saturday"
"3742",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",317,"Online",0,0,0,120,0,1,"09","15","Saturday"
"3743",1,0,0,3,"Meal Plan 2",0,"Room_Type 1",36,"Offline",0,0,0,91,0,0,"10","13","Friday"
"3744",3,0,1,4,"Meal Plan 1",0,"Room_Type 4",99,"Online",0,0,0,168.3,0,1,"09","05","Wednesday"
"3745",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",79,"Offline",0,0,0,75,0,0,"11","13","Monday"
"3746",2,0,0,2,"Meal Plan 1",1,"Room_Type 1",33,"Online",0,0,0,117.33,2,0,"09","15","Saturday"
"3747",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",443,"Online",0,0,0,65,0,1,"04","29","Sunday"
"3748",2,0,2,0,"Meal Plan 2",0,"Room_Type 1",275,"Online",0,0,0,110,0,1,"04","17","Tuesday"
"3749",2,0,2,1,"Not Selected",0,"Room_Type 1",10,"Online",0,0,0,120,3,0,"10","29","Monday"
"3750",2,1,0,1,"Meal Plan 1",0,"Room_Type 2",15,"Complementary",0,0,0,0,4,0,"08","28","Monday"
"3751",2,0,2,3,"Meal Plan 1",0,"Room_Type 1",143,"Online",0,0,0,99.79,0,0,"05","29","Tuesday"
"3752",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",18,"Offline",0,0,0,85,0,0,"10","03","Wednesday"
"3753",1,0,0,3,"Meal Plan 1",0,"Room_Type 1",161,"Online",0,0,0,116.1,0,1,"09","08","Saturday"
"3754",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",11,"Online",0,0,0,145,1,0,"10","03","Tuesday"
"3755",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",39,"Offline",0,0,0,101.5,0,0,"08","14","Monday"
"3756",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",289,"Offline",0,0,0,67,0,0,"10","17","Tuesday"
"3757",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",89,"Online",0,0,0,76.5,0,1,"07","27","Thursday"
"3758",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",188,"Online",0,0,0,105.3,0,1,"08","13","Monday"
"3759",2,0,1,0,"Meal Plan 1",0,"Room_Type 1",5,"Online",0,0,0,131,0,0,"06","12","Tuesday"
"3760",1,0,0,0,"Meal Plan 1",0,"Room_Type 1",56,"Online",0,0,0,0,0,0,"09","25","Monday"
"3761",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,"Online",0,0,0,124,0,0,"09","08","Friday"
"3762",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",14,"Online",0,0,0,96,1,0,"09","15","Friday"
"3763",1,0,1,1,"Meal Plan 1",0,"Room_Type 4",19,"Online",0,0,0,6,0,0,"11","07","Wednesday"
"3764",2,1,2,3,"Meal Plan 1",0,"Room_Type 6",7,"Online",0,0,0,237,2,0,"09","09","Sunday"
"3765",2,0,2,5,"Meal Plan 1",0,"Room_Type 1",90,"Online",0,0,0,130.78,2,1,"06","14","Thursday"
"3766",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",250,"Online",0,0,0,90.95,0,1,"10","28","Sunday"
"3767",3,0,0,3,"Meal Plan 2",0,"Room_Type 4",58,"Online",0,0,0,189,2,0,"04","05","Thursday"
"3768",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",56,"Online",0,0,0,76.92,1,0,"06","21","Thursday"
"3769",1,0,2,0,"Meal Plan 1",0,"Room_Type 1",95,"Online",0,0,0,90,2,1,"11","20","Tuesday"
"3770",2,0,0,4,"Meal Plan 1",0,"Room_Type 4",17,"Online",0,0,0,143.43,1,0,"11","09","Friday"
"3771",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",182,"Online",0,0,0,120,1,1,"10","12","Friday"
"3772",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",149,"Online",0,0,0,99.45,0,1,"05","06","Sunday"
"3773",2,0,1,2,"Meal Plan 1",0,"Room_Type 4",56,"Online",0,0,0,140.4,0,1,"05","02","Wednesday"
"3774",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",207,"Offline",0,0,0,161.67,0,0,"12","30","Sunday"
"3775",2,0,2,2,"Not Selected",0,"Room_Type 1",71,"Online",0,0,0,87.13,0,1,"04","22","Sunday"
"3776",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",99,"Online",0,0,0,65,0,1,"10","30","Monday"
"3777",1,0,2,3,"Meal Plan 1",0,"Room_Type 1",38,"Offline",0,0,0,58,1,0,"10","01","Sunday"
"3778",2,0,1,4,"Meal Plan 1",0,"Room_Type 1",63,"Online",0,0,0,103.87,1,0,"04","25","Wednesday"
"3779",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",273,"Online",0,0,0,109,0,1,"07","17","Monday"
"3780",2,0,0,2,"Not Selected",0,"Room_Type 1",35,"Online",0,0,0,71.1,1,0,"03","16","Friday"
"3781",2,0,2,2,"Meal Plan 1",0,"Room_Type 4",71,"Online",0,0,0,132.6,0,1,"05","01","Tuesday"
"3782",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",155,"Online",0,0,0,126.9,1,1,"09","02","Sunday"
"3783",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",2,"Online",0,0,0,98,1,0,"08","10","Thursday"
"3784",2,0,0,2,"Meal Plan 1",0,"Room_Type 4",92,"Online",0,0,0,87.3,0,0,"03","18","Sunday"
"3785",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,"Offline",0,0,0,91.2,0,0,"09","08","Friday"
"3786",2,0,1,1,"Meal Plan 1",0,"Room_Type 4",11,"Online",0,0,0,154,0,1,"09","05","Wednesday"
"3787",2,1,2,4,"Meal Plan 1",0,"Room_Type 4",143,"Online",0,0,0,101.54,2,1,"04","23","Monday"
"3788",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",3,"Online",0,0,0,106,1,0,"03","31","Saturday"
"3789",2,2,0,3,"Meal Plan 1",0,"Room_Type 2",2,"Online",0,0,0,85.03,1,1,"02","11","Sunday"
"3790",2,0,1,5,"Meal Plan 1",0,"Room_Type 4",141,"Online",0,0,0,124.8,0,1,"08","15","Wednesday"
"3791",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",29,"Online",0,0,0,143.03,3,0,"10","03","Wednesday"
"3792",2,0,0,1,"Meal Plan 1",1,"Room_Type 4",124,"Online",0,0,0,127.8,1,0,"08","04","Saturday"
"3793",1,0,2,1,"Meal Plan 2",0,"Room_Type 1",4,"Offline",0,0,0,36.25,0,0,"08","01","Tuesday"
"3794",2,0,2,2,"Meal Plan 1",0,"Room_Type 4",167,"Offline",0,0,0,60,1,0,"03","13","Tuesday"
"3795",3,0,0,1,"Meal Plan 1",0,"Room_Type 4",12,"Online",0,0,0,177,1,0,"05","07","Monday"
"3796",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",114,"Online",0,0,0,75.27,0,0,"05","07","Monday"
"3797",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",162,"Online",0,0,0,112,0,1,"07","14","Saturday"
"3798",1,0,2,2,"Meal Plan 1",0,"Room_Type 1",115,"Offline",0,0,0,76,0,0,"02","27","Tuesday"
"3799",2,0,0,2,"Not Selected",0,"Room_Type 1",47,"Online",0,0,0,125.1,1,0,"09","09","Sunday"
"3800",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",49,"Online",0,0,0,135.9,1,0,"07","23","Monday"
"3801",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",164,"Offline",0,0,0,100,0,0,"10","02","Monday"
"3802",3,0,1,2,"Meal Plan 1",1,"Room_Type 4",18,"Online",0,0,0,191,1,0,"12","23","Sunday"
"3803",2,1,2,4,"Meal Plan 1",0,"Room_Type 4",199,"Online",0,0,0,98.18,0,1,"12","28","Friday"
"3804",2,2,1,1,"Meal Plan 1",0,"Room_Type 6",46,"Online",0,0,0,198.9,0,1,"05","14","Monday"
"3805",2,0,1,2,"Meal Plan 1",0,"Room_Type 4",6,"Online",0,0,0,106,2,0,"02","12","Monday"
"3806",2,0,0,1,"Not Selected",0,"Room_Type 1",80,"Online",0,0,0,85.5,1,0,"04","13","Friday"
"3807",3,0,1,1,"Meal Plan 1",0,"Room_Type 1",39,"Offline",0,0,0,98.94,2,0,"02","08","Thursday"
"3808",2,0,2,0,"Meal Plan 1",0,"Room_Type 1",127,"Online",0,0,0,114.3,1,0,"07","10","Tuesday"
"3809",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",151,"Offline",0,0,0,80,0,0,"01","19","Friday"
"3810",2,0,2,1,"Meal Plan 1",0,"Room_Type 1",67,"Offline",0,0,0,76.16,1,0,"03","26","Monday"
"3811",2,0,2,4,"Meal Plan 1",0,"Room_Type 4",23,"Online",0,0,0,115.9,2,0,"12","30","Sunday"
"3812",2,0,1,4,"Meal Plan 1",0,"Room_Type 1",1,"Online",0,0,0,110.8,1,0,"08","26","Saturday"
"3813",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",93,"Online",0,0,0,89.25,1,0,"10","07","Saturday"
"3814",2,1,0,2,"Meal Plan 1",0,"Room_Type 1",244,"Online",0,0,0,94.5,2,1,"12","21","Friday"
"3815",2,0,2,2,"Meal Plan 2",0,"Room_Type 1",147,"Offline",0,0,0,128.76,0,0,"10","08","Monday"
"3816",2,1,1,2,"Meal Plan 1",0,"Room_Type 1",40,"Online",0,0,0,128.1,0,1,"06","27","Wednesday"
"3817",2,0,0,1,"Meal Plan 2",0,"Room_Type 1",55,"Offline",0,0,0,104,0,0,"04","06","Friday"
"3818",2,1,0,1,"Meal Plan 1",0,"Room_Type 1",1,"Online",0,0,0,115.89,1,0,"08","17","Friday"
"3819",2,0,0,2,"Not Selected",0,"Room_Type 1",21,"Online",0,0,0,148,2,0,"08","19","Sunday"
"3820",1,0,1,0,"Not Selected",0,"Room_Type 1",6,"Online",0,0,0,81,0,0,"02","01","Thursday"
"3821",2,0,2,1,"Meal Plan 2",0,"Room_Type 1",23,"Offline",0,0,0,109,0,0,"01","02","Tuesday"
"3822",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",105,"Online",0,0,0,126.9,1,0,"06","11","Monday"
"3823",3,0,1,3,"Meal Plan 1",0,"Room_Type 4",33,"Online",0,0,0,186,1,1,"10","10","Wednesday"
"3824",1,0,1,3,"Meal Plan 1",0,"Room_Type 1",118,"Offline",0,0,0,110,0,0,"06","06","Wednesday"
"3825",2,0,1,3,"Meal Plan 1",0,"Room_Type 4",37,"Online",0,0,0,113.4,0,1,"06","20","Wednesday"
"3826",2,0,1,2,"Meal Plan 1",0,"Room_Type 4",78,"Online",0,0,0,105.3,0,1,"03","25","Sunday"
"3827",2,1,2,5,"Meal Plan 2",0,"Room_Type 4",93,"Online",0,0,0,150.56,1,1,"10","22","Monday"
"3828",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",1,"Offline",0,0,0,65,1,0,"11","05","Monday"
"3829",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",193,"Online",0,0,0,100,0,1,"06","20","Wednesday"
"3830",2,0,2,5,"Meal Plan 1",0,"Room_Type 1",155,"Online",0,0,0,96.12,1,0,"08","22","Wednesday"
"3831",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",80,"Online",0,0,0,120.9,2,0,"11","10","Saturday"
"3832",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",3,"Online",0,0,0,107,0,0,"03","04","Sunday"
"3833",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",29,"Corporate",0,0,0,85,0,0,"12","02","Sunday"
"3834",2,0,0,1,"Meal Plan 2",0,"Room_Type 1",55,"Offline",0,0,0,104,0,0,"04","06","Friday"
"3835",1,0,1,3,"Meal Plan 2",0,"Room_Type 1",4,"Offline",0,0,0,88,0,0,"03","07","Wednesday"
"3836",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",21,"Offline",0,0,0,95,0,0,"04","28","Saturday"
"3837",1,0,0,1,"Meal Plan 1",1,"Room_Type 1",0,"Corporate",0,0,0,50,1,0,"12","15","Saturday"
"3838",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",35,"Online",0,0,0,119,1,0,"08","30","Thursday"
"3839",2,0,2,2,"Not Selected",0,"Room_Type 1",76,"Online",0,0,0,72.25,0,0,"03","18","Sunday"
"3840",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",433,"Online",0,0,0,70,0,1,"09","08","Saturday"
"3841",1,0,1,0,"Not Selected",0,"Room_Type 1",3,"Online",1,0,2,55.6,0,0,"12","19","Wednesday"
"3842",2,0,1,2,"Meal Plan 1",0,"Room_Type 4",77,"Online",0,0,0,132.3,3,0,"10","07","Sunday"
"3843",2,0,2,2,"Meal Plan 2",0,"Room_Type 1",133,"Online",0,0,0,117.3,2,0,"11","26","Monday"
"3844",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",99,"Online",0,0,0,65,0,1,"10","30","Monday"
"3845",1,0,0,3,"Meal Plan 1",0,"Room_Type 1",14,"Corporate",0,0,0,95,0,0,"10","14","Saturday"
"3846",2,0,0,2,"Meal Plan 1",1,"Room_Type 4",51,"Online",0,0,0,158.4,1,0,"08","23","Thursday"
"3847",2,0,1,1,"Meal Plan 2",0,"Room_Type 1",4,"Offline",0,0,0,112,1,0,"05","21","Monday"
"3848",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",11,"Online",0,0,0,90,2,0,"08","22","Tuesday"
"3849",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",71,"Online",0,0,0,75.95,0,0,"02","23","Friday"
"3850",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",256,"Online",0,0,0,96.3,3,0,"10","20","Saturday"
"3851",1,0,4,10,"Meal Plan 1",0,"Room_Type 4",64,"Online",0,0,0,109.65,1,1,"04","01","Sunday"
"3852",3,0,2,1,"Meal Plan 1",0,"Room_Type 4",41,"Online",0,0,0,114.3,0,0,"03","12","Monday"
"3853",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",291,"Online",0,0,0,115,0,1,"08","19","Sunday"
"3854",2,0,0,3,"Meal Plan 1",0,"Room_Type 4",88,"Online",0,0,0,132.3,1,0,"10","20","Saturday"
"3855",2,0,2,3,"Meal Plan 1",0,"Room_Type 4",46,"Online",0,0,0,158.4,0,0,"09","09","Sunday"
"3856",2,0,0,1,"Not Selected",0,"Room_Type 1",0,"Online",0,0,0,89,0,0,"03","01","Thursday"
"3857",1,0,0,1,"Meal Plan 1",1,"Room_Type 1",1,"Corporate",1,0,5,67,0,0,"04","06","Friday"
"3858",2,0,2,2,"Meal Plan 1",0,"Room_Type 4",44,"Online",0,0,0,117.15,1,0,"04","23","Monday"
"3859",2,0,1,1,"Meal Plan 2",0,"Room_Type 1",301,"Online",0,0,0,109,0,1,"07","30","Monday"
"3860",2,0,1,0,"Meal Plan 1",0,"Room_Type 6",4,"Online",0,0,0,133.98,1,0,"11","20","Tuesday"
"3861",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",28,"Online",0,0,0,110.65,2,0,"10","12","Thursday"
"3862",2,0,0,3,"Not Selected",0,"Room_Type 1",126,"Online",0,0,0,118.8,0,1,"09","08","Saturday"
"3863",2,0,2,2,"Meal Plan 1",0,"Room_Type 4",43,"Online",0,0,0,140.4,1,0,"05","21","Monday"
"3864",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",154,"Offline",0,0,0,75,0,0,"04","19","Thursday"
"3865",3,0,1,4,"Meal Plan 1",1,"Room_Type 4",103,"Online",0,0,0,146.7,0,0,"08","01","Wednesday"
"3866",2,2,0,1,"Meal Plan 1",1,"Room_Type 2",280,"Online",0,0,0,198.9,2,1,"08","12","Sunday"
"3867",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",1,"Offline",0,0,0,96,0,0,"10","01","Sunday"
"3868",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",37,"Online",0,0,0,96.3,1,0,"10","22","Sunday"
"3869",2,0,2,0,"Meal Plan 2",0,"Room_Type 1",75,"Online",0,0,0,105,0,1,"10","30","Tuesday"
"3870",1,0,0,3,"Meal Plan 1",0,"Room_Type 1",151,"Offline",0,0,0,80,0,0,"01","19","Friday"
"3871",1,0,0,1,"Not Selected",0,"Room_Type 1",1,"Online",0,0,0,78.41,0,0,"08","17","Friday"
"3872",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",257,"Online",0,0,0,101.5,0,1,"07","01","Saturday"
"3873",2,0,1,2,"Not Selected",0,"Room_Type 1",4,"Online",0,0,0,139,1,0,"07","08","Sunday"
"3874",3,0,1,3,"Meal Plan 2",0,"Room_Type 4",45,"Online",0,0,0,157.68,2,0,"06","27","Wednesday"
"3875",2,0,0,1,"Meal Plan 1",0,"Room_Type 4",116,"Online",0,0,0,104.4,0,0,"10","29","Monday"
"3876",2,0,1,1,"Meal Plan 2",0,"Room_Type 1",88,"Offline",0,0,0,112.2,0,0,"10","05","Thursday"
"3877",2,0,2,1,"Not Selected",0,"Room_Type 1",67,"Online",0,0,0,95.4,2,0,"12","05","Tuesday"
"3878",1,0,1,0,"Meal Plan 1",0,"Room_Type 1",38,"Online",0,0,0,67.5,1,1,"02","15","Thursday"
"3879",2,0,1,2,"Not Selected",0,"Room_Type 1",162,"Online",0,0,0,103.5,0,1,"08","08","Wednesday"
"3880",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",35,"Online",0,0,0,111.83,0,1,"08","28","Tuesday"
"3881",3,0,2,1,"Meal Plan 1",0,"Room_Type 4",31,"Online",0,0,0,168.3,0,1,"07","09","Monday"
"3882",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",69,"Online",0,0,0,105.3,0,1,"04","27","Friday"
"3883",2,0,2,4,"Not Selected",0,"Room_Type 1",71,"Online",0,0,0,77,2,0,"11","12","Monday"
"3884",2,0,0,2,"Not Selected",0,"Room_Type 1",0,"Online",0,0,0,143.5,0,0,"07","08","Sunday"
"3885",1,0,0,2,"Meal Plan 2",0,"Room_Type 1",320,"Offline",0,0,0,90,0,0,"08","18","Saturday"
"3886",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,"Corporate",0,0,0,79,1,0,"12","13","Thursday"
"3887",1,0,2,5,"Meal Plan 1",0,"Room_Type 1",253,"Online",0,0,0,80.75,2,0,"09","12","Tuesday"
"3888",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",304,"Online",0,0,0,89,0,1,"11","03","Saturday"
"3889",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",83,"Online",0,0,0,105.3,1,0,"07","23","Monday"
"3890",2,0,2,2,"Not Selected",0,"Room_Type 1",56,"Online",0,0,0,67.32,0,1,"12","16","Sunday"
"3891",1,0,1,0,"Meal Plan 1",0,"Room_Type 1",6,"Corporate",0,0,0,65,0,1,"08","08","Wednesday"
"3892",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",162,"Offline",0,0,0,70,0,0,"09","17","Sunday"
"3893",3,0,0,2,"Meal Plan 1",0,"Room_Type 4",103,"Online",0,0,0,137.7,1,0,"08","02","Thursday"
"3894",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,"Offline",0,0,0,95,0,0,"06","24","Sunday"
"3895",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",63,"Online",0,0,0,105.6,1,0,"04","25","Wednesday"
"3896",2,0,1,3,"Not Selected",0,"Room_Type 1",97,"Online",0,0,0,53.38,0,0,"12","28","Thursday"
"3897",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",144,"Offline",0,0,0,112,0,0,"07","03","Tuesday"
"3898",2,0,1,0,"Meal Plan 1",1,"Room_Type 1",0,"Corporate",1,0,1,77,0,0,"11","14","Wednesday"
"3899",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",257,"Online",0,0,0,101.5,0,1,"07","01","Saturday"
"3900",1,0,0,2,"Meal Plan 2",0,"Room_Type 1",102,"Offline",0,0,0,87,0,0,"10","16","Monday"
"3901",1,0,1,0,"Not Selected",0,"Room_Type 1",131,"Online",0,0,0,108,0,1,"10","10","Wednesday"
"3902",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",2,"Corporate",1,0,2,42,1,0,"01","13","Saturday"
"3903",2,0,1,5,"Meal Plan 1",0,"Room_Type 4",113,"Online",0,0,0,92.94,0,0,"07","05","Thursday"
"3904",2,0,1,1,"Meal Plan 1",0,"Room_Type 4",51,"Online",0,0,0,126.36,0,1,"05","28","Monday"
"3905",2,0,2,0,"Meal Plan 1",0,"Room_Type 1",167,"Online",0,0,0,77.03,0,1,"07","03","Tuesday"
"3906",2,1,2,3,"Meal Plan 1",0,"Room_Type 4",41,"Offline",0,0,0,75,2,0,"11","01","Wednesday"
"3907",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",15,"Offline",0,0,0,92,0,0,"02","18","Sunday"
"3908",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",67,"Offline",0,0,0,75,0,0,"12","02","Sunday"
"3909",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",8,"Online",0,0,0,125,1,0,"03","18","Sunday"
"3910",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",31,"Online",0,0,0,200,2,0,"09","25","Monday"
"3911",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",249,"Online",0,0,0,89.25,0,1,"10","22","Monday"
"3912",2,0,1,3,"Meal Plan 1",0,"Room_Type 4",18,"Online",0,0,0,140.9,1,0,"06","02","Saturday"
"3913",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",77,"Online",0,0,0,109.93,1,0,"12","31","Sunday"
"3914",1,0,0,3,"Meal Plan 1",1,"Room_Type 1",29,"Corporate",0,0,0,67,0,0,"04","05","Thursday"
"3915",2,0,1,2,"Meal Plan 1",0,"Room_Type 4",56,"Offline",0,0,0,60,1,0,"11","06","Monday"
"3916",3,0,1,0,"Meal Plan 1",0,"Room_Type 4",25,"Online",0,0,0,185,0,0,"09","18","Tuesday"
"3917",2,2,1,0,"Meal Plan 1",0,"Room_Type 6",56,"Online",0,0,0,156.6,0,1,"12","19","Wednesday"
"3918",2,0,0,4,"Meal Plan 1",0,"Room_Type 2",204,"Online",0,0,0,81.81,0,1,"07","12","Thursday"
"3919",2,0,2,2,"Meal Plan 1",0,"Room_Type 2",89,"Online",0,0,0,108,3,0,"10","08","Monday"
"3920",2,0,2,3,"Meal Plan 1",0,"Room_Type 1",265,"Online",0,0,0,100.3,0,1,"10","09","Tuesday"
"3921",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",159,"Offline",0,0,0,70.5,0,0,"12","29","Friday"
"3922",2,0,2,6,"Meal Plan 1",0,"Room_Type 1",24,"Offline",0,0,0,53.85,0,0,"09","01","Friday"
"3923",2,1,2,2,"Meal Plan 1",0,"Room_Type 1",141,"Online",0,0,0,149.85,2,0,"09","04","Tuesday"
"3924",1,0,1,3,"Meal Plan 1",0,"Room_Type 4",58,"Offline",0,0,0,90.95,1,0,"09","08","Saturday"
"3925",2,0,0,4,"Not Selected",0,"Room_Type 1",41,"Online",0,0,0,62,0,0,"01","20","Saturday"
"3926",2,0,0,1,"Meal Plan 1",0,"Room_Type 4",62,"Online",0,0,0,102.6,2,0,"12","07","Friday"
"3927",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",31,"Offline",0,0,0,70,0,0,"09","16","Sunday"
"3928",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",34,"Online",0,0,0,68.07,1,0,"12","10","Monday"
"3929",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,"Offline",0,0,0,95,0,0,"06","24","Sunday"
"3930",1,2,0,1,"Meal Plan 1",0,"Room_Type 6",0,"Online",0,0,0,153,0,0,"08","08","Tuesday"
"3931",0,2,2,2,"Meal Plan 1",0,"Room_Type 2",87,"Online",0,0,0,112.01,1,0,"05","29","Tuesday"
"3932",2,2,0,1,"Meal Plan 1",0,"Room_Type 6",15,"Online",0,0,0,221,0,1,"05","06","Sunday"
"3933",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",160,"Offline",0,0,0,70,0,0,"12","30","Saturday"
"3934",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",82,"Online",0,0,0,72.25,0,0,"11","21","Tuesday"
"3935",1,0,1,1,"Meal Plan 1",0,"Room_Type 1",0,"Online",0,0,0,114,0,0,"04","23","Monday"
"3936",2,0,1,3,"Meal Plan 1",0,"Room_Type 1",53,"Online",0,0,0,135.9,0,1,"08","04","Saturday"
"3937",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",207,"Offline",0,0,0,80.75,0,0,"06","10","Sunday"
"3938",2,1,2,3,"Meal Plan 1",0,"Room_Type 1",103,"Online",0,0,0,134.1,0,1,"08","13","Monday"
